dispersion,suitors borda_mean,suitors borda_stdev,reviewers borda_mean,reviewers borda_stdev
0.0,7,0.0,7,0.0
0.05,7.092733333333333,0.07704124305142475,7,0.0
0.1,7.201933333333334,0.11995177542841301,7,0.0
0.15,7.3122,0.1497190636500324,7,0.0
0.2,7.446133333333333,0.184520962937931,7,0.0
0.25,7.594533333333334,0.22004211889918981,7,0.0
0.3,7.7489333333333335,0.2519217120326032,7,0.0
0.35,7.9522,0.2961279126146646,7,0.0
0.4,8.1532,0.3214442716134267,7,0.0
0.45,8.4216,0.3685019377460138,7,0.0
0.5,8.713933333333333,0.3982741044334445,7,0.0
0.55,9.045933333333334,0.45241245356339427,7,0.0
0.6,9.455466666666666,0.5009956764073817,7,0.0
0.65,9.876,0.5492551654671515,7,0.0
0.7,10.351733333333334,0.5712646837451533,7,0.0
0.75,10.916666666666666,0.5754380128949271,7,0.0
0.8,11.370466666666667,0.5880686337931864,7,0.0
0.85,11.766733333333333,0.5766756216022385,7,0.0
0.9,12.1866,0.5400997160328955,7,0.0
0.95,12.394866666666667,0.4868876640203086,7,0.0
1.0,12.477533333333334,0.4979702143043641,7,0.0
