Window length,initmen_mean,initmen_stdev,topmen_mean,topmen_stdev,bottommen_mean,bottommen_stdev,initwomen_mean,initwomen_stdev,topwomen_mean,topwomen_stdev,bottomwomen_mean,bottomwomen_stdev
2,667.3666666666667,11.041967937302283,622.76,13.553612163720922,661.4333333333333,11.718978278910068,595,0.0,1013.2266666666667,42.38496419907182,655.34,4.572796715212444
3,666.02,11.041392529626352,617.9666666666667,12.028164189965176,658.78,10.713392484338932,595,0.0,1045.8133333333333,43.35624037457981,683.8533333333334,5.361291373368603
4,667.16,10.689692708461843,615.5133333333333,14.156240669335315,658.1466666666666,11.263998995830747,595,0.0,1063.64,32.234934569677804,711.88,6.078811257863237
5,667.1933333333334,10.054012966660665,616.7866666666666,12.629244142317622,654.88,12.001632998507848,595,0.0,1066.1133333333332,31.119931821897563,740.3466666666667,6.011160388560784
6,666.1666666666666,10.064501152326933,615.7266666666667,14.407257989431896,650.32,12.395236149207923,595,0.0,1070.12,26.171330181898146,766.2666666666667,7.204274147721319
7,665.3933333333333,11.38107263475958,616.7866666666666,12.857811281939421,647.6,11.980409064062957,595,0.0,1065.2933333333333,26.268757227245867,792.74,6.8457893784986625
8,665.58,11.528354306670758,616.2866666666666,14.437710068975418,644.46,10.727015384551413,595,0.0,1060.9733333333334,22.61672086399399,817.34,8.766034206224498
9,665.62,10.421113055496338,617.04,13.304830832819066,642.3666666666667,12.209258598527883,595,0.0,1052.4933333333333,20.19693201057579,841.0333333333333,8.729658362332543
10,667.24,11.059133308275172,619.3666666666667,14.005951116102992,639.5,12.568069694226164,595,0.0,1041.4533333333334,22.217831482711887,863.8,9.711267931234044
11,666.4133333333333,11.286498833934802,620.7133333333334,12.137543213404873,637.4866666666667,12.631980649250636,595,0.0,1031.4466666666667,21.19786511558683,885.7933333333333,9.541359397375626
12,667.4533333333334,11.730523865394911,619.7466666666667,12.368061632521941,636.2333333333333,12.870765305628593,595,0.0,1022.5533333333333,17.702817682928014,906.7466666666667,11.693046558002164
13,665.6533333333333,10.960567924017543,621.4866666666667,12.941135011717439,634.2133333333334,12.040528130998991,595,0.0,1006.62,21.401771864174577,924.8666666666667,12.766707262159393
14,665.82,10.603323526076988,625.8133333333334,12.78914528561097,629.4133333333333,13.369898408185088,595,0.0,993.96,17.479760107702244,943.6733333333333,13.396131198827401
15,666.52,10.623337611759442,624.7266666666667,13.996594344477083,629.52,13.216178818037216,595,0.0,983.3333333333334,17.562416654526892,961.0466666666666,12.651411395209141
16,666.3266666666667,12.622817661959209,625.9666666666667,12.717591614190338,626.94,13.155869897185738,595,0.0,968.7466666666667,17.70533862031323,975.0266666666666,13.316461360914685
