phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.026748654517574386
0.1,-0.04588284879887731
0.15,-0.09664339532749798
0.2,-0.1690952831752386
0.25,-0.12998788494651164
0.3,-0.21247281464572207
0.35,-0.16916570523763313
0.4,-0.25268982278382773
0.45,-0.2354093785388949
0.5,-0.2569030099389427
0.55,-0.4294098367386779
0.6,-0.4035004295920524
0.65,-0.5254611467199127
0.7,-0.5134844902845171
0.75,-0.5500673275726442
0.8,-0.6461297303703186
0.85,-0.685565747713909
0.9,-0.620063632238672
0.95,-0.7142563206266466
1.0,-0.6744604628158646
