"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.054
"(0.0, 0.2)",-0.076
"(0.0, 0.3)",-0.064
"(0.0, 0.4)",-0.078
"(0.0, 0.5)",-0.032
"(0.0, 0.6)",-0.032
"(0.0, 0.7)",-0.002
"(0.0, 0.8)",0
"(0.0, 0.9)",-0.008
"(0.0, 1.0)",0.002
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.036
"(0.1, 0.2)",-0.1
"(0.1, 0.3)",-0.094
"(0.1, 0.4)",-0.054
"(0.1, 0.5)",-0.068
"(0.1, 0.6)",-0.034
"(0.1, 0.7)",-0.016
"(0.1, 0.8)",-0.016
"(0.1, 0.9)",-0.004
"(0.1, 1.0)",0
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.004
"(0.2, 0.2)",-0.104
"(0.2, 0.3)",-0.072
"(0.2, 0.4)",-0.082
"(0.2, 0.5)",-0.072
"(0.2, 0.6)",-0.046
"(0.2, 0.7)",-0.008
"(0.2, 0.8)",-0.048
"(0.2, 0.9)",-0.002
"(0.2, 1.0)",-0.028
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.048
"(0.3, 0.2)",-0.062
"(0.3, 0.3)",-0.12
"(0.3, 0.4)",-0.08
"(0.3, 0.5)",-0.122
"(0.3, 0.6)",-0.078
"(0.3, 0.7)",-0.05
"(0.3, 0.8)",-0.04
"(0.3, 0.9)",-0.034
"(0.3, 1.0)",-0.022
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.074
"(0.4, 0.2)",-0.066
"(0.4, 0.3)",-0.114
"(0.4, 0.4)",-0.098
"(0.4, 0.5)",-0.088
"(0.4, 0.6)",-0.094
"(0.4, 0.7)",-0.036
"(0.4, 0.8)",-0.074
"(0.4, 0.9)",-0.018
"(0.4, 1.0)",-0.012
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.058
"(0.5, 0.2)",-0.08
"(0.5, 0.3)",-0.084
"(0.5, 0.4)",-0.07
"(0.5, 0.5)",-0.078
"(0.5, 0.6)",-0.144
"(0.5, 0.7)",-0.056
"(0.5, 0.8)",-0.026
"(0.5, 0.9)",-0.064
"(0.5, 1.0)",-0.034
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.026
"(0.6, 0.2)",-0.068
"(0.6, 0.3)",-0.07
"(0.6, 0.4)",-0.074
"(0.6, 0.5)",-0.066
"(0.6, 0.6)",-0.1
"(0.6, 0.7)",-0.106
"(0.6, 0.8)",-0.018
"(0.6, 0.9)",-0.034
"(0.6, 1.0)",-0.02
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.038
"(0.7, 0.2)",-0.04
"(0.7, 0.3)",-0.09
"(0.7, 0.4)",-0.03
"(0.7, 0.5)",-0.102
"(0.7, 0.6)",-0.058
"(0.7, 0.7)",-0.042
"(0.7, 0.8)",-0.048
"(0.7, 0.9)",-0.024
"(0.7, 1.0)",-0.042
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.002
"(0.8, 0.2)",-0.038
"(0.8, 0.3)",-0.062
"(0.8, 0.4)",-0.09
"(0.8, 0.5)",-0.072
"(0.8, 0.6)",-0.096
"(0.8, 0.7)",-0.076
"(0.8, 0.8)",-0.038
"(0.8, 0.9)",-0.006
"(0.8, 1.0)",0.068
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.04
"(0.9, 0.2)",-0.038
"(0.9, 0.3)",-0.046
"(0.9, 0.4)",-0.02
"(0.9, 0.5)",-0.062
"(0.9, 0.6)",-0.038
"(0.9, 0.7)",-0.046
"(0.9, 0.8)",-0.078
"(0.9, 0.9)",0.004
"(0.9, 1.0)",-0.016
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.032
"(1.0, 0.2)",-0.026
"(1.0, 0.3)",-0.044
"(1.0, 0.4)",-0.02
"(1.0, 0.5)",-0.034
"(1.0, 0.6)",0.024
"(1.0, 0.7)",-0.05
"(1.0, 0.8)",-0.008
"(1.0, 0.9)",-0.022
"(1.0, 1.0)",-0.008
